Date,Open,High,Low,Close,Symbol,Volume
2022-11-03,1634.105,1641.035,1616.755,1630.325,XAUUSD,
2022-11-04,1630.395,1681.695,1629.485,1681.4,XAUUSD,
2022-11-07,1674.93,1681.875,1667.175,1675.385,XAUUSD,
2022-11-08,1675.08,1716.945,1664.785,1712.375,XAUUSD,
2022-11-09,1711.73,1722.115,1702.285,1707.035,XAUUSD,
2022-11-10,1706.28,1757.315,1703.965,1755.575,XAUUSD,
2022-11-11,1754.2,1768.185,1747.435,1767.865,XAUUSD,
2022-11-14,1771.43,1775.065,1753.475,1771.305,XAUUSD,
2022-11-15,1770.53,1786.395,1767.155,1778.815,XAUUSD,
2022-11-16,1777.83,1785.055,1770.355,1773.865,XAUUSD,
2022-11-17,1773.85,1774.725,1754.685,1760.275,XAUUSD,
2022-11-18,1760.77,1767.725,1747.625,1748.775,XAUUSD,
2022-11-21,1750.5,1753.045,1732.665,1737.905,XAUUSD,
2022-11-22,1738.8,1749.785,1737.115,1740.115,XAUUSD,
2022-11-23,1740.22,1753.175,1728.93,1749.585,XAUUSD,
2022-11-24,1749.58,1758.665,1749.275,1755.435,XAUUSD,
2022-11-25,1755.245,1761.145,1746.075,1754.625,XAUUSD,
2022-11-28,1754.08,1763.675,1739.795,1741.685,XAUUSD,
2022-11-29,1740.57,1758.935,1739.96,1749.795,XAUUSD,
2022-11-30,1749.58,1770.045,1745.505,1768.615,XAUUSD,
2022-12-01,1768.69,1803.775,1768.585,1802.935,XAUUSD,
2022-12-02,1802.04,1804.515,1778.89,1797.56,XAUUSD,
2022-12-05,1797.73,1810.03,1765.92,1768.77,XAUUSD,
2022-12-06,1768.2,1780.9,1767.34,1771.09,XAUUSD,
2022-12-07,1771.13,1790.59,1768.87,1786.13,XAUUSD,
2022-12-08,1785.92,1794.85,1781.42,1789.09,XAUUSD,
2022-12-09,1789.72,1806.01,1788.61,1795.12,XAUUSD,
2022-12-12,1796.8,1797.32,1777.69,1781.41,XAUUSD,
2022-12-13,1781.12,1824.48,1781.12,1810.61,XAUUSD,
2022-12-14,1810.63,1813.92,1796.5,1807.42,XAUUSD,
2022-12-15,1807.28,1808.67,1774.39,1776.9,XAUUSD,
2022-12-16,1776.7,1794.28,1774.53,1792.2,XAUUSD,
2022-12-19,1792.75,1798.86,1783.95,1787.75,XAUUSD,
2022-12-20,1787.43,1821.07,1784.68,1817.83,XAUUSD,
2022-12-21,1817.92,1823.84,1812.0,1814.37,XAUUSD,
2022-12-22,1814.03,1820.49,1785.08,1792.45,XAUUSD,
2022-12-23,1793.52,1803.27,1791.33,1797.69,XAUUSD,
2022-12-27,1800.9,1833.31,1800.39,1813.63,XAUUSD,
2022-12-28,1813.84,1814.62,1797.23,1804.35,XAUUSD,
2022-12-29,1804.42,1820.17,1803.85,1815.02,XAUUSD,
2022-12-30,1814.74,1826.05,1813.62,1823.48,XAUUSD,
2023-01-03,1828.86,1849.96,1824.4,1839.54,XAUUSD,
2023-01-04,1838.77,1865.09,1836.36,1854.66,XAUUSD,
2023-01-05,1854.5,1859.08,1825.07,1832.96,XAUUSD,
2023-01-06,1832.34,1869.84,1831.48,1867.01,XAUUSD,
2023-01-09,1868.22,1881.36,1865.38,1871.78,XAUUSD,
2023-01-10,1871.09,1880.61,1867.92,1876.96,XAUUSD,
2023-01-11,1876.7,1886.55,1867.28,1875.65,XAUUSD,
2023-01-12,1875.05,1901.55,1874.72,1896.87,XAUUSD,
2023-01-13,1895.84,1921.96,1892.36,1920.74,XAUUSD,
2023-01-16,1920.2,1929.0,1910.92,1915.74,XAUUSD,
2023-01-17,1916.405,1919.08,1903.94,1908.67,XAUUSD,
2023-01-18,1908.42,1925.83,1896.72,1904.34,XAUUSD,
2023-01-19,1904.18,1935.19,1901.03,1932.17,XAUUSD,
2023-01-20,1931.65,1937.47,1920.73,1927.27,XAUUSD,
2023-01-23,1926.11,1935.55,1911.65,1931.02,XAUUSD,
2023-01-24,1930.96,1942.54,1917.56,1937.3,XAUUSD,
2023-01-25,1937.12,1948.06,1920.18,1946.27,XAUUSD,
2023-01-26,1946.48,1949.16,1919.13,1929.18,XAUUSD,
2023-01-27,1928.5,1935.01,1917.13,1926.56,XAUUSD,
2023-01-30,1928.24,1934.48,1920.73,1923.22,XAUUSD,
2023-01-31,1923.09,1931.08,1901.04,1928.28,XAUUSD,
2023-02-01,1928.13,1954.41,1920.7,1950.18,XAUUSD,
2023-02-02,1951.3,1959.71,1911.41,1912.64,XAUUSD,
2023-02-03,1912.05,1918.61,1861.62,1864.85,XAUUSD,
2023-02-06,1864.87,1881.19,1860.3,1867.69,XAUUSD,
2023-02-07,1867.75,1884.23,1865.23,1873.72,XAUUSD,
2023-02-08,1874.04,1886.12,1869.7,1875.55,XAUUSD,
2023-02-09,1875.24,1890.16,1859.0,1861.7,XAUUSD,
2023-02-10,1862.93,1872.0,1852.86,1864.2,XAUUSD,
2023-02-13,1864.7,1866.46,1850.56,1853.45,XAUUSD,
2023-02-14,1853.82,1869.95,1843.63,1854.46,XAUUSD,
2023-02-15,1854.08,1860.01,1830.67,1835.91,XAUUSD,
2023-02-16,1836.44,1845.34,1827.67,1836.5,XAUUSD,
2023-02-17,1836.51,1843.69,1818.98,1841.93,XAUUSD,
2023-02-20,1841.01,1847.58,1837.36,1841.295,XAUUSD,
2023-02-21,1841.9,1843.91,1830.29,1835.01,XAUUSD,
2023-02-22,1834.88,1845.98,1823.67,1825.26,XAUUSD,
2023-02-23,1826.05,1833.7,1818.02,1822.37,XAUUSD,
2023-02-24,1822.69,1827.87,1809.0,1810.98,XAUUSD,
2023-02-27,1811.13,1820.14,1806.86,1817.31,XAUUSD,
2023-02-28,1817.24,1831.21,1805.1,1826.8,XAUUSD,
2023-03-01,1826.9,1844.31,1823.12,1836.705,XAUUSD,
2023-03-02,1837.31,1838.84,1830.08,1835.75,XAUUSD,
2023-03-03,1836.21,1856.33,1835.75,1855.24,XAUUSD,
2023-03-06,1854.95,1858.31,1845.24,1846.76,XAUUSD,
2023-03-07,1846.465,1851.64,1812.85,1813.23,XAUUSD,
2023-03-08,1814.27,1824.29,1809.6,1813.82,XAUUSD,
2023-03-09,1814.29,1835.41,1812.05,1830.86,XAUUSD,
2023-03-10,1831.54,1870.01,1827.81,1869.9,XAUUSD,
2023-03-13,1884.295,1914.66,1871.6,1910.27,XAUUSD,
2023-03-14,1910.19,1914.18,1895.5,1904.27,XAUUSD,
2023-03-15,1904.32,1937.35,1885.78,1920.35,XAUUSD,
2023-03-16,1920.46,1933.37,1907.54,1920.02,XAUUSD,
2023-03-17,1920.15,1989.33,1918.54,1989.33,XAUUSD,
2023-03-20,1977.45,2009.6,1965.94,1978.36,XAUUSD,
2023-03-21,1978.36,1985.15,1935.51,1941.18,XAUUSD,
2023-03-22,1941.32,1978.8,1934.45,1965.71,XAUUSD,
2023-03-23,1965.665,2003.36,1965.665,1992.03,XAUUSD,
2023-03-24,1991.95,2003.01,1975.225,1977.78,XAUUSD,
2023-03-27,1977.78,1980.75,1944.35,1956.52,XAUUSD,
2023-03-28,1956.69,1975.31,1949.41,1973.7,XAUUSD,
2023-03-29,1973.6,1974.48,1958.76,1964.52,XAUUSD,
2023-03-30,1963.73,1984.29,1955.63,1980.31,XAUUSD,
2023-03-31,1980.55,1987.06,1966.98,1970.8,XAUUSD,
2023-04-03,1969.17,1990.52,1949.94,1984.565,XAUUSD,
2023-04-04,1984.32,2025.02,1977.09,2020.665,XAUUSD,
2023-04-05,2021.06,2032.02,2010.48,2020.84,XAUUSD,
2023-04-06,2020.97,2021.46,2001.11,2007.465,XAUUSD,
2023-04-10,1994.47,2009.83,1981.8,1991.35,XAUUSD,
2023-04-11,1991.28,2007.5,1988.91,2003.62,XAUUSD,
2023-04-12,2003.2,2027.86,2001.54,2014.94,XAUUSD,
2023-04-13,2014.52,2048.19,2014.12,2040.15,XAUUSD,
2023-04-14,2040.49,2047.47,1992.49,2005.45,XAUUSD,
